"game_id","idTeam","team_id","game","agg_plusminusTeam","agg_ptsTeam","agg_pctFG3Team","agg_pctFG2Team","agg_astTeam","agg_stlTeam","agg_blkTeam","agg_tovTeam","agg_pfTeam","agg_orebTeam","agg_drebTeam","agg_ftmTeam","B2BTeam","plusminusTeam","segSeason","win","opp_idTeam","opp_agg_plusminusTeam","opp_agg_ptsTeam","opp_agg_pctFG3Team","opp_agg_pctFG2Team","opp_agg_astTeam","opp_agg_stlTeam","opp_agg_blkTeam","opp_agg_tovTeam","opp_agg_pfTeam","opp_agg_orebTeam","opp_agg_drebTeam","opp_agg_ftmTeam","opp_B2BTeam","WL_diff","rest_diff"
21300067,1610612750,1610612750,5,6.4,84.2,0.25378835978836,0.362418598944915,18.4,9.2,2.2,12.4,14.2,9,26.8,20.4,FALSE,-13,1,0,1610612744,10.2,89.6,0.38582567529936,0.417484938162904,23.2,8.2,5,16,20.6,7,28.8,12.6,FALSE,0,0
21300068,1610612759,1610612759,5,2.2,79.8,0.307619047619048,0.396839530332681,19.2,6,3.4,11,16.6,7.2,25.6,8.6,TRUE,3,1,1,1610612756,3,78.2,0.268326393379025,0.389449935800142,15.8,7.8,4.4,14.6,16.8,9.2,26.2,13,TRUE,0,0
21300069,1610612760,1610612760,4,-2.25,71.25,0.163176759102056,0.343546448511166,11.25,7,3.5,12.5,18.5,8.5,23.5,19,FALSE,14,1,1,1610612742,6.4,91.4,0.328313840155945,0.393410256363231,20.6,7.6,3.2,11.4,18.6,9.4,26.6,18.2,TRUE,-0.1,2
21300070,1610612748,1610612748,6,4.33333333333333,87.3333333333333,0.38203166935051,0.445132286740448,23.8333333333333,7.16666666666667,3.16666666666667,14.1666666666667,20,5.66666666666667,22.8333333333333,15.1666666666667,FALSE,5,1,1,1610612746,3,94.3333333333333,0.29250208855472,0.442093136065971,22.1666666666667,7.66666666666667,4.16666666666667,12.5,21.3333333333333,10,25.3333333333333,18.8333333333333,TRUE,0,1
21300071,1610612743,1610612743,4,-6.25,70,0.285087719298246,0.307436342592593,13.75,3.25,5,11.75,15.75,9.5,25.75,12.5,FALSE,2,1,1,1610612737,0.2,83.8,0.308168642951252,0.404095974185705,20.6,8.6,3.6,11.4,13.8,6.2,25.4,16,FALSE,-0.4,0
21300072,1610612745,1610612745,6,4.66666666666667,91.1666666666667,0.283521421107628,0.477427196591575,14.6666666666667,5.66666666666667,3.83333333333333,16,18,9.83333333333333,29.8333333333333,22.1666666666667,FALSE,-1,1,0,1610612747,-6.83333333333333,84,0.328432689270657,0.35743181677786,18.6666666666667,5.16666666666667,4.66666666666667,12.5,16.6666666666667,8.33333333333333,29.1666666666667,14.1666666666667,FALSE,0.333333333333333,0
21300073,1610612766,1610612766,6,-3.5,75.1666666666667,0.228968253968254,0.386815985762329,14.8333333333333,6.16666666666667,5.16666666666667,11.6666666666667,17.8333333333333,9.5,24.3333333333333,17.6666666666667,FALSE,-10,1,0,1610612752,-1.6,73.6,0.234546703296703,0.393532775208321,14,8.4,4.2,13.4,18.6,8.8,22.8,11,FALSE,0.3,-1
21300074,1610612754,1610612754,6,9.16666666666667,79.5,0.33685841486353,0.393112400442992,17.8333333333333,5,8.66666666666667,15.5,15.3333333333333,7.83333333333333,30.3333333333333,15.6666666666667,FALSE,7,1,1,1610612761,-0.833333333333333,78.3333333333333,0.27100459749117,0.392826222749496,13.6666666666667,4.33333333333333,2.66666666666667,12.5,20,11.8333333333333,26.1666666666667,14.6666666666667,FALSE,0.5,0
21300075,1610612753,1610612753,6,5.66666666666667,86.1666666666667,0.34471988112984,0.411910275780139,16.6666666666667,7,4.5,14.3333333333333,18.3333333333333,8.66666666666667,31.6666666666667,11.1666666666667,FALSE,-2,1,0,1610612738,-3.33333333333333,74.5,0.228044871794872,0.421364883595938,13.1666666666667,7.33333333333333,4.5,16.5,19.5,7.83333333333333,24.8333333333333,13.8333333333333,FALSE,0.333333333333333,0
21300076,1610612755,1610612755,6,-3.33333333333333,87,0.279192546583851,0.43158922585807,19.8333333333333,7.66666666666667,3.16666666666667,16.1666666666667,14.8333333333333,8.66666666666667,29.1666666666667,13.3333333333333,FALSE,15,1,1,1610612739,-3.5,75.5,0.249437830687831,0.365045324696691,14.6666666666667,8.5,3.16666666666667,13.3333333333333,19.8333333333333,9.33333333333333,26.5,13,FALSE,0.166666666666667,0
21300077,1610612764,1610612764,5,-2.8,82.6,0.338321678321678,0.350068300179288,20,7.4,3.2,13.4,18.4,11,22,11.6,FALSE,4,1,1,1610612751,-1.6,77,0.294786096256685,0.369708486743999,18.2,5.8,4.8,12.2,21.2,7.6,24,16,FALSE,-0.2,-1
21300078,1610612765,1610612765,5,2,79.8,0.212435897435897,0.405962169814162,14.8,8.2,4.6,15,18.4,11,23.2,16,FALSE,-9,1,0,1610612760,1,78.4,0.207464484204722,0.389988673960448,14.6,7.6,3.8,14.8,18.2,8.8,25.6,18.4,FALSE,-0.2,1
21300079,1610612741,1610612741,5,-6.2,72.2,0.200869963369963,0.362726917687059,17.2,5.6,3.4,14.8,15.4,10.4,25.6,15,FALSE,24,1,1,1610612762,-7.16666666666667,75,0.178480887304417,0.392217336867843,14.6666666666667,5.33333333333333,3.16666666666667,16.8333333333333,19.8333333333333,12.8333333333333,24.6666666666667,15.3333333333333,FALSE,0.2,0
21300080,1610612750,1610612750,6,3.16666666666667,85.6666666666667,0.2531569664903,0.36958306668833,19,8.66666666666667,2.33333333333333,13.5,15,9.16666666666667,27.3333333333333,20.5,FALSE,8,1,1,1610612742,3,91.6666666666667,0.338812258100969,0.400422525463983,20,8.33333333333333,3,13,18.1666666666667,9.66666666666667,26.3333333333333,17.1666666666667,FALSE,0,0
21300081,1610612740,1610612740,6,0.833333333333333,80.3333333333333,0.392709142709143,0.354470809556269,17.5,7.66666666666667,7.33333333333333,12,18.8333333333333,10.1666666666667,24.6666666666667,15.6666666666667,FALSE,11,1,1,1610612747,-5.71428571428571,86.1428571428571,0.346819856109543,0.356495441949945,19.7142857142857,5.57142857142857,4.85714285714286,14.1428571428571,19.4285714285714,9,29.8571428571429,13.7142857142857,TRUE,-0.0952380952380952,1
21300082,1610612759,1610612759,6,2.33333333333333,83,0.318849206349206,0.4152406714125,20.1666666666667,5.83333333333333,4,11.5,16.6666666666667,7,26.8333333333333,9,FALSE,2,1,1,1610612744,10.6666666666667,92.3333333333333,0.388188062749466,0.43644578180242,23.1666666666667,8.83333333333333,6,16.8333333333333,22,7.33333333333333,30.6666666666667,12.8333333333333,FALSE,0,0
